id,doi,date,title,keywords
10.5281/zenodo.5541450,10.5281/zenodo.5541450,2021-09-22,Open Science and Scholarly Communication in Greece: amplifying understanding and building capacity through synergies,Open Science; Research Data; Research Data Management; Scholarly Communication; Training
10.5281/zenodo.4121867,10.5281/zenodo.4121867,2020-10-23,Equity and inclusion: Open Science policies,OpenAIRE; Open Science; Open Science Policies; Equity; Inclusion; Asia; Europe
10.5281/zenodo.7684733,10.5281/zenodo.7684733,2023-02-28,"The Turing Way Workshop: Reproducible, Open and FAIR Research",Open Science; Reproducible research; FAIR data; Training
10.5281/zenodo.6315122,10.5281/zenodo.6315122,2022-02-28,Open Source Science for Large-Scale Data Mining in Earth Observation,big geospatial data; scalable deep learning; remote sensing; open science; Geographic Information Systems; data mining
10.5281/zenodo.7553419,10.5281/zenodo.7553419,2023-01-20,Open Science Methodological Toolkit,Open Science; Toolkit; action model; EELISA InnoCORE; vision
10.5281/zenodo.4537702,10.5281/zenodo.4537702,2021-02-11,Building a Culture of Collaboration in Open Source Communities with The Turing Way,Community; Open Source
10.1080/14479338.2021.1999248,10.1080/14479338.2021.1999248,2021-12-17,Examining Open Innovation in Science (OIS): what Open Innovation can and cannot offer the science of science,Open Innovation in Science; Open Innovation; Open science; Science of science; Knowledge flows; Boundaries; Boundary crossing; Scientific research
10.5281/zenodo.8092620,10.5281/zenodo.8092620,2023-06-28,"Your Journey to Open Science: Principles, Ecosystems and Tools",Open science; Data sharing; Data citation; Software sharing; Software citation; Digital presence
10.5281/zenodo.10075257,10.5281/zenodo.10075257,2023-11-06,OSC-NL and NLRN team up to collaborate on Open and Reproducible Science in the Netherlands,
10.5281/zenodo.7998559,10.5281/zenodo.7998559,2023-05-11,Reimagining Dissertations to give Experience of Open Practices and International Collaboration,"Reproducibility, Open Science, Training, Teaching, Education, research, data"
10.5281/zenodo.7197596,10.5281/zenodo.7197596,2022-10-06,Pilot Dashboard for Open and FAIR Data Metrics by HMC Hub Matter,Helmholtz Metadata Collaboration; FAIR
10.5281/zenodo.6811664,10.5281/zenodo.6811664,2022-07-07,An Open Science Mooc: drawing on the strengths of collaboration between institutions,Session 7: Trailblazing training for higher education
10.5281/zenodo.3504565,10.5281/zenodo.3504565,2019-10-18,SO-DRIIHM: promoting Open Science within the LabEx DRIIHM and improving its Research Data Infrastructure,open science; e-infrastructure; co-design; awareness; FAIR data
10.1111/cobi.13835,10.1111/cobi.13835,2021-08-04,Closing the knowledge-action gap in conservation with open science,critical appraisal; evidence-based decision-making; knowledge mobilization; open access; open code; open data; open education resources; transparency
10.5281/zenodo.6257059,10.5281/zenodo.6257059,2022-02-24,Open Science and Open Access. Why and how to guarantee openness to knowledge,Open Science; Open Access; Open Research Europe; Research assessment
10.3897/rio.9.e108765,10.3897/rio.9.e108765,2023-09-05,FAIR Research Objects for realising Open Science with the EOSC project RELIANCE,research object; reproducibility; replicability; reusability; interdisciplinary; open science practices; environmental sciences
10.5281/zenodo.8397918,10.5281/zenodo.8397918,2023-10-02,Advancing the Understanding of Multiple Long-Term Conditions through AI and Open Science: The AIM Research Support Facility,
10.5281/zenodo.5160281,10.5281/zenodo.5160281,2021-11-01,CSCCE Community Profile: Open Source Hardware Association,CSCCE Community Profile; CSCCE x STIP Wilson Community Profile; CSCCE; Wilson Center; Describing STEM communities
10.5281/zenodo.3776718,10.5281/zenodo.3776718,2020-04-30,The INOS Project: Integrating Open and Citizen Science Into Active Learning Approaches in Higher Education,Erasmus+; HEIs; Open Science; Citizen Science; Curricula; Active Learning Approaches; Higher Education
10.5281/zenodo.6589624,10.5281/zenodo.6589624,2022-05-27,"Open science for enabling reproducible, ethical and collaborative research: Insights from The Turing Way",
10.5281/zenodo.7326280,10.5281/zenodo.7326280,2022-11-16,Decision making procedures in data management and  data stewardship  for Open Science,
10.5281/zenodo.6480154,10.5281/zenodo.6480154,2022-04-23,International Committee on Open Phytolith Science Training Resources,Phytoliths; Archaeobotany; Open Science; Open Data; Open Access; Open Source
10.5281/zenodo.8300543,10.5281/zenodo.8300543,2023-08-31,"Pathways for adopting Outstanding Open Science Communication addressed to Scientists, Journalists, Teachers, Policy Makers and Entrepreneurs",
10.5281/zenodo.3776772,10.5281/zenodo.3776772,2020-04-30,Digital economy for Open Science,Research; Innovation; Research Evaluation; Reproducibility Integrity of Research; Accessibility of Scientific Results; Science Funding; Open Research Infrastructure
10.5281/zenodo.8412341,10.5281/zenodo.8412341,2023-10-09,HelioCloud: Infrastructure for big and open science,heliophysics
10.5281/zenodo.6484818,10.5281/zenodo.6484818,2022-05-23,Presence of Open Science Skills in the Croatian LIS Curriculum,open science; LIS curricula; open science skills; LIS studies; Bobcatsss; BOBCATSSS; bobcatsss; bobcatsss 2022
10.5281/zenodo.6656139,10.5281/zenodo.6656139,2022-04-29,Family-based OSS - Open Educational Resources,Innovative science education; open schooling; home-school collaboration; families in science learning; open science schooling
10.5281/zenodo.4501747,10.5281/zenodo.4501747,2020-02-17,Open Science Competency Center – towards engaging and supporting researchers in opening research data across disciplines,Open Research Data; Open Science; Open Science Competence Center
10.5281/zenodo.7428976,10.5281/zenodo.7428976,2022-12-01,DDI and FAIR Open Data APIs,
10.5281/zenodo.6617538,10.5281/zenodo.6617538,2022-06-03,Transform to Open Science (TOPS) OpenCore Curriculum Pre-Sprint Meeting,Open Science; Open-Source; Open Knowledge
10.5281/zenodo.4720527,10.5281/zenodo.4720527,2021-04-26,Engaging with Open Science as feminist Early Career Researchers: 6 Top Tips,
10.5281/zenodo.5710539,10.5281/zenodo.5710539,2021-11-30,Multilevel Government Cooperation for Open Pit Mining Projects,shared rule; local government; local governance; urban-rural; Argentina; intergovernmental relations; Andalgalà; Famatina; intergovernmental relations; federal-provincial relations; mining; citizen mobilisation
