id,date,title,authors,link_abstract,link_pdf
2101.10124v1,2021-01-21 09:15:01,An open-source tool to assess the carbon footprint of research,Jérôme Mariette|Odile Blanchard|Olivier Berné|Tamara Ben Ari,http://arxiv.org/abs/2101.10124v1,http://arxiv.org/pdf/2101.10124v1
2102.07548v1,2021-02-15 13:34:38,Player-Centered AI for Automatic Game Personalization: Open Problems,Jichen Zhu|Santiago Ontañón,http://arxiv.org/abs/2102.07548v1,http://arxiv.org/pdf/2102.07548v1
2103.09687v1,2021-02-28 13:37:59,Moroccan Dialect -Darija- Open Dataset,Aissam Outchakoucht|Hamza Es-Samaali,http://arxiv.org/abs/2103.09687v1,http://arxiv.org/pdf/2103.09687v1
2103.00917v2,2021-03-11 22:30:50,"An open-source framework for ExpFinder integrating $N$-gram Vector Space
  Model and $μ$CO-HITS",Hung Du|Yong-Bin Kang,http://arxiv.org/abs/2103.00917v2,http://arxiv.org/pdf/2103.00917v2
2103.12505v1,2021-03-17 16:02:28,"Towards an Open Global Air Quality Monitoring Platform to Assess
  Children's Exposure to Air Pollutants in the Light of COVID-19 Lockdowns",Christina Last|Prithviraj Pramanik|Nikita Saini|Akash Smaran Majety|Do-Hyung Kim|Manuel García-Herranz|Subhabrata Majumdar,http://arxiv.org/abs/2103.12505v1,http://arxiv.org/pdf/2103.12505v1
2103.12168v1,2021-03-22 20:34:04,Building the Collaboration Graph of Open-Source Software Ecosystem,Elena Lyulina|Mahmoud Jahanshahi,http://arxiv.org/abs/2103.12168v1,http://arxiv.org/pdf/2103.12168v1
2104.04146v3,2021-07-16 17:08:03,"An Open-source Model for Simulation and Corrective Measure Assessment of
  the 2021 Texas Power Outage",Dongqi Wu|Xiangtian Zheng|Yixing Xu|Daniel Olsen|Bainan Xia|Chanan Singh|Le Xie,http://arxiv.org/abs/2104.04146v3,http://arxiv.org/pdf/2104.04146v3
2104.03648v1,2021-04-08 10:11:06,"Do Communities in Developer Interaction Networks align with Subsystem
  Developer Teams? An Empirical Study of Open Source Systems",Usman Ashraf|Christoph Mayr-Dorn|Atif Mashkoor|Alexander Egyed|Sebastiano Panichella,http://arxiv.org/abs/2104.03648v1,http://arxiv.org/pdf/2104.03648v1
2105.08846v1,2021-05-18 22:10:43,"Gym-ANM: Open-source software to leverage reinforcement learning for
  power system management in research and education",Robin Henry|Damien Ernst,http://arxiv.org/abs/2105.08846v1,http://arxiv.org/pdf/2105.08846v1
2106.06004v1,2021-06-10 18:49:29,CodemixedNLP: An Extensible and Open NLP Toolkit for Code-Mixing,Sai Muralidhar Jayanthi|Kavya Nerella|Khyathi Raghavi Chandu|Alan W Black,http://arxiv.org/abs/2106.06004v1,http://arxiv.org/pdf/2106.06004v1
2106.10207v2,2021-11-08 17:53:34,Distributed Deep Learning in Open Collaborations,Michael Diskin|Alexey Bukhtiyarov|Max Ryabinin|Lucile Saulnier|Quentin Lhoest|Anton Sinitsin|Dmitry Popov|Dmitry Pyrkin|Maxim Kashirin|Alexander Borzunov|Albert Villanova del Moral|Denis Mazur|Ilia Kobelev|Yacine Jernite|Thomas Wolf|Gennady Pekhimenko,http://arxiv.org/abs/2106.10207v2,http://arxiv.org/pdf/2106.10207v2
2106.15852v1,2021-06-30 07:17:10,Harnessing the Benefits of Open Electronics in Science,Michael Oellermann|Jolle W. Jolles|Diego Ortiz|Rui Seabra|Tobias Wenzel|Hannah Wilson|Richelle Tanner,http://arxiv.org/abs/2106.15852v1,http://arxiv.org/pdf/2106.15852v1
2107.06260v3,2021-08-12 20:21:51,"OpenCDA:An Open Cooperative Driving Automation Framework Integrated with
  Co-Simulation",Runsheng Xu|Yi Guo|Xu Han|Xin Xia|Hao Xiang|Jiaqi Ma,http://arxiv.org/abs/2107.06260v3,http://arxiv.org/pdf/2107.06260v3
2107.10256v1,2021-07-21 08:45:13,"Clinica: an open source software platform for reproducible clinical
  neuroscience studies",Alexandre Routier|Ninon Burgos|Mauricio Díaz|Michael Bacci|Simona Bottani|Omar El-Rifai|Sabrina Fontanella|Pietro Gori|Jérémy Guillon|Alexis Guyot|Ravi Hassanaly|Thomas Jacquemont|Pascal Lu|Arnaud Marcoux|Tristan Moreau|Jorge Samper-González|Marc Teichmann|Elina Thibeau--Sutre|Ghislain Vaillant|Junhao Wen|Adam Wild|Marie-Odile Habert|Stanley Durrleman|Olivier Colliot,http://arxiv.org/abs/2107.10256v1,http://arxiv.org/pdf/2107.10256v1
2107.12808v2,2021-07-31 16:55:19,Open-Ended Learning Leads to Generally Capable Agents, Open Ended Learning Team|Adam Stooke|Anuj Mahajan|Catarina Barros|Charlie Deck|Jakob Bauer|Jakub Sygnowski|Maja Trebacz|Max Jaderberg|Michael Mathieu|Nat McAleese|Nathalie Bradley-Schmieg|Nathaniel Wong|Nicolas Porcel|Roberta Raileanu|Steph Hughes-Fitt|Valentin Dalibard|Wojciech Marian Czarnecki,http://arxiv.org/abs/2107.12808v2,http://arxiv.org/pdf/2107.12808v2
2107.14330v2,2021-08-10 08:40:04,"Developing Open Source Educational Resources for Machine Learning and
  Data Science",Ludwig Bothmann|Sven Strickroth|Giuseppe Casalicchio|David Rügamer|Marius Lindauer|Fabian Scheipl|Bernd Bischl,http://arxiv.org/abs/2107.14330v2,http://arxiv.org/pdf/2107.14330v2
